id	filename	md5	size	state
064215bd-9ec9-4a16-8ea2-9c6604156398	af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts.tsv	bfffdb8c2737fa2b2330fd7c474088fe	4253697	released
6df72103-ccfb-4a53-b839-2e8c47ec2145	b4e60c29-6c4d-49b4-878e-b91e20e17dad.rna_seq.augmented_star_gene_counts.tsv	9716aad1296de30b453de82c415c5319	4241282	released
c3b9e954-9acd-481d-b6d1-86db1e62d037	c0285709-159c-46dd-8bd8-50fad06513dd.rna_seq.augmented_star_gene_counts.tsv	cc3b27e01805c24b0161bf15802b7a07	4232411	released
ff1f2f31-8607-4627-b487-c5e39e7c30f5	deb7967f-9339-4bb1-ae0b-81a72a472bba.rna_seq.augmented_star_gene_counts.tsv	536cbed0ca9f0c319c019d2c436140ec	4217312	released
cf53cdad-a323-475e-a84a-87b68d13e262	37d359b3-d8f5-44cf-8f30-57dfdbbab8c1.rna_seq.augmented_star_gene_counts.tsv	9d6830c4ca06204797f38bc01a6727bb	4252356	released
eea8e274-7b23-444d-999d-1741d7a928d2	20ef7196-2274-44e1-a105-0761f80c893c.rna_seq.augmented_star_gene_counts.tsv	d53961c225cef52a1ec4ff227495c03c	4249741	released
2b64d9ef-56fc-4362-99c7-d0cc6011c2a4	68bf0c2e-f2ad-48f3-b29d-b2a3c5d1c568.rna_seq.augmented_star_gene_counts.tsv	45c1e03a6ae265cec474f77510e1bff3	4230464	released
871d28f4-09d5-4f16-8c29-4aa7d247f3e3	ba00c48c-c33e-4dab-beb6-0575ee076dfd.rna_seq.augmented_star_gene_counts.tsv	915a42e855a0c3a2f05d9de3dd59bded	4252003	released
fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8	1d468785-141d-40ca-acb1-d6d85a8c9d7b.rna_seq.augmented_star_gene_counts.tsv	014bebf8b00089c3524d39200bce491c	4246171	released
6b62d6dd-bb6f-4f39-9041-992c47b875f3	d1f7678a-8106-46c9-95b7-5ec5d940f08c.rna_seq.augmented_star_gene_counts.tsv	cfe98a7dcb3ca5d1a4d25d13f6f5fa4a	4244153	released
d67d6fbf-50fa-485e-8ac7-a3c7ac33b3b2	63eff205-4fd4-4148-a596-2f7c17da328f.rna_seq.augmented_star_gene_counts.tsv	7ca8610099c7aa71177daa282e6913eb	4250633	released
90452523-0f9a-4c14-9d5f-e44f7079fb18	38387a4f-c65d-4075-8133-fdf259e919ed.rna_seq.augmented_star_gene_counts.tsv	96812a3c2bc4d47d1b261e1573bdeefd	4213910	released
9c55de9c-a13e-4772-9a5d-4cde38f75cf3	9899646e-d5be-4429-a7f2-0251bed9721d.rna_seq.augmented_star_gene_counts.tsv	4f8e84bf768c4c22ebeee863ad212dc2	4240594	released
eb166054-ff70-4a86-883b-9c25a7d2b0e5	6cc59c3f-0de5-4232-ab7a-7195a92e7d89.rna_seq.augmented_star_gene_counts.tsv	2ce77f34d6c915bc5ae66ccedd2b1fe3	4245622	released
3b9e620f-a661-4a1d-ac46-ab4c56a4b241	04c428b5-d0b9-4ecf-86e8-8a42dc4cbb5e.rna_seq.augmented_star_gene_counts.tsv	5d0d7892f916c80d94a48789d59f7909	4248729	released
7e915086-4926-4670-9f43-e35e2d04d6c5	a091a049-ebb1-465c-bf2e-b2abd72e4901.rna_seq.augmented_star_gene_counts.tsv	0b069131bacfafbc6dfe82e2946068f2	4263010	released
055f6138-ea7a-468d-90c2-87a473486867	43d15c49-f348-48a8-b00f-7f6a7b605a04.rna_seq.augmented_star_gene_counts.tsv	3f6642204b0eac5512fa19e7d84b5019	4235673	released
3bb2e240-9cea-4dd2-be32-6bc6976a79b1	ce362483-60b7-4654-b201-834c60e38690.rna_seq.augmented_star_gene_counts.tsv	e59ee7996d136eb173ab87273752c2ec	4235616	released
89ece3f8-e2db-4ed6-b5b8-dd4df34d6224	b1eae07c-4bc8-4b5c-9d33-d85f10214663.rna_seq.augmented_star_gene_counts.tsv	d1cd0e839a398856f149bfde6430339a	4222149	released
3396edba-0d2a-4485-ad0a-5114b38c1abe	2e64abe2-6024-4d28-9e09-560ce2a9fd15.rna_seq.augmented_star_gene_counts.tsv	25a162e0b1fa52e5a06881efcb56784e	4231290	released
fb397586-1b5b-40e0-a885-8663f9c76f6d	706fb35c-d467-4f93-b5ea-0cd841533655.rna_seq.augmented_star_gene_counts.tsv	d4b3848991960ef0bcb34cf352cc60ec	4228339	released
14979d31-e8b1-4948-beea-f913dfefa200	deb14c1d-474c-4d6f-bb8a-2b6df5dce5c9.rna_seq.augmented_star_gene_counts.tsv	36946ef0c730515335ad58f52942f433	4252274	released
59c3cb45-ca6e-40ad-a3f0-9b496b934aa5	7abc395f-72e4-4835-8aef-aaca2f8a34b0.rna_seq.augmented_star_gene_counts.tsv	ff0bb159b48733cced3c6d0b19bc87ae	4240841	released
1936440a-9cfc-4b04-af40-3fbc22fe87f6	7dc54973-bfae-4811-b947-f98a6ac24b25.rna_seq.augmented_star_gene_counts.tsv	70da14cb1166a06087cf7e04f9207f21	4237555	released
57bda069-93ee-4614-b64e-fbf7c91aa1fe	4a9a8be4-1c11-4c8b-b943-77e122513731.rna_seq.augmented_star_gene_counts.tsv	9464ba8eb221db68241dde8cb8105199	4190816	released
1130a47b-ceab-4221-94ab-8eee91d9118f	e30b64b2-4646-4406-8f2a-8805544c0407.rna_seq.augmented_star_gene_counts.tsv	3962481be6475faf0c50681ef9c45c47	4214318	released
2e127ae7-9706-4d43-bfe3-1d2f943b0f05	0fdef70f-2ab5-4a89-a24d-9706807f475a.rna_seq.augmented_star_gene_counts.tsv	b893f5c50a134c62715d76b5aba4d8ff	4209603	released
869266fd-d8fd-40ce-8d93-1ee07c1a7b4d	c18e524d-4a68-4fc2-9a21-83ee8a762aa8.rna_seq.augmented_star_gene_counts.tsv	1bd997ee092519ab42ca21bde43d8b7b	4200382	released
815bcfc3-45cd-4f6d-abdf-31eb8503b0b9	89987a2a-c0d2-4397-86ef-18cd81252cf1.rna_seq.augmented_star_gene_counts.tsv	48285d7827621d0eb47122535912a762	4202598	released
500b822b-1102-4be2-9950-d9ade03474a1	5daba4f6-7fa2-4a5d-923b-66148ca7a7e8.rna_seq.augmented_star_gene_counts.tsv	ee3e02aa720baeb9c3a1ea6359eeceae	4195545	released
adfaada2-a44a-46f5-bc3a-f34a00541a90	65d39d11-f7a9-4cda-93c7-f05830a49e5b.rna_seq.augmented_star_gene_counts.tsv	97e87b67e25d263ffd739e03b4b1111c	4210511	released
bb933466-b36a-4952-a372-54e09362c0c7	a739e3ff-f172-4f9c-94b6-b9fcc4458627.rna_seq.augmented_star_gene_counts.tsv	29dcd8a293cb2b3db59fee256c00bf1d	4209536	released
abddbc1f-3227-479d-b68f-406dd9eab12e	d43d749c-eea4-4467-a1c9-751923cefbc6.rna_seq.augmented_star_gene_counts.tsv	513bf52601e27bb5045f96abe903b885	4187212	released
46bdffdd-d8b3-4aa9-a36c-5b695c41aacb	fc6e0c8a-46a8-4cfc-b824-8181a8984072.rna_seq.augmented_star_gene_counts.tsv	15712fde892f5595d7800ff920b98a0f	4191917	released
0ec8cace-3afb-4e44-8f31-2f0f9d0f990f	41d6f903-5ac4-4481-aed9-fd141c7be021.rna_seq.augmented_star_gene_counts.tsv	3226325e872ad30bb759178b7653ddcf	4193188	released
4f7e768a-61cb-45fb-8f1c-3c6204132e79	90e25e48-b679-4cd3-ad19-5983321ebd74.rna_seq.augmented_star_gene_counts.tsv	a09f86737538eb7125af2cb6d954a408	4202121	released
fa55f410-873f-4086-8196-f84ff1b1a363	576fc8d6-4299-4f15-bf3a-5fa0bd85f93e.rna_seq.augmented_star_gene_counts.tsv	1b116950a8ef18e43e716a3f7bcc531c	4197701	released
13cc836e-8ab9-429f-bf42-50713a01fcec	75196f5b-e656-4fd0-b3cf-1c55089674e2.rna_seq.augmented_star_gene_counts.tsv	557a941646fab1b51ee47442592c8665	4198111	released
5f763394-117a-4009-95e2-e75b1fabc2a0	8741e600-0b8a-49b8-b8ff-8da50864ace2.rna_seq.augmented_star_gene_counts.tsv	55983c642f568c15c1a5abd63b65ad76	4199947	released
6efd37a6-1669-4cdd-95b6-60c688e1e236	304b7293-0a76-4028-9a18-58c87c751ceb.rna_seq.augmented_star_gene_counts.tsv	c9eecbd1aa38a8078ff41e125d49fc53	4212734	released
f66aace4-01a4-4def-8e71-26d9aaf13d49	9db2f825-0d02-4437-9107-a6b92ef4e2cc.rna_seq.augmented_star_gene_counts.tsv	24ff8dcee52767c9d8e44aaabe7a6bce	4246431	released
